playlist_id,track_ids
3,"[344, 10293, 3321, 13960, 18344, 12111, 1111, 6579, 9740, 752]"
6,"[1111, 10711, 8749, 11943, 8275, 20242, 6954, 4910, 17346, 12510]"
7,"[4492, 17154, 20443, 4052, 5924, 14765, 5042, 10300, 8749, 11257]"
17,"[9246, 7416, 9882, 9580, 13347, 14572, 8768, 9471, 18755, 16149]"
18,"[18578, 13941, 11951, 15716, 1302, 3130, 8890, 3865, 5167, 18763]"
19,"[16973, 2306, 3835, 4923, 4152, 19411, 18906, 18138, 4466, 15773]"
20,"[14591, 7619, 13101, 13237, 16760, 13139, 4393, 18637, 10264, 13980]"
25,"[4202, 699, 5620, 19134, 800, 1900, 7077, 10839, 2018, 10438]"
29,"[8001, 2159, 12075, 15341, 15886, 1944, 3903, 9231, 18361, 56]"
34,"[6285, 14751, 20306, 19540, 15386, 6581, 5746, 6951, 1980, 1357]"
36,"[13139, 20134, 19939, 18381, 14765, 2912, 968, 17239, 13237, 17334]"
40,"[8796, 18418, 8960, 7550, 16402, 1723, 20468, 3880, 15137, 2735]"
48,"[16502, 648, 12488, 4949, 16275, 20515, 14732, 10848, 10251, 6629]"
50,"[15354, 19166, 20287, 17429, 20037, 15954, 11896, 12963, 6621, 8656]"
52,"[8456, 9441, 17247, 14827, 8838, 8378, 18615, 16293, 19173, 18254]"
59,"[3624, 1300, 8167, 11882, 13670, 628, 3860, 1365, 18404, 19690]"
60,"[559, 4916, 4111, 10201, 1898, 18904, 13862, 17192, 18475, 11702]"
64,"[10089, 5604, 15038, 12507, 5726, 2203, 12765, 4014, 2672, 9717]"
77,"[7478, 13542, 1698, 1461, 5947, 15498, 4301, 20242, 17154, 14360]"
80,"[14683, 18026, 9670, 16391, 10203, 15335, 12295, 7323, 3919, 12226]"
83,"[2736, 2012, 8145, 19214, 18435, 14008, 19657, 10711, 16866, 8843]"
85,"[18381, 15209, 14591, 17239, 13980, 2740, 541, 5513, 14395, 13237]"
88,"[19243, 2765, 11257, 20443, 4965, 15438, 16973, 12164, 6557, 10880]"
89,"[17774, 18617, 13250, 19055, 11196, 3347, 18266, 6494, 2891, 12563]"
98,"[9477, 16583, 4745, 8342, 16100, 14904, 8033, 3799, 20461, 15036]"
106,"[15474, 20263, 6103, 1591, 17984, 10567, 12436, 11275, 12278, 17239]"
107,"[7903, 15669, 9291, 2912, 9710, 1626, 10112, 17568, 7761, 6933]"
115,"[8145, 12510, 8866, 14826, 4288, 14732, 4401, 868, 20172, 8539]"
138,"[18856, 19825, 15322, 5651, 5882, 18824, 11451, 5149, 6137, 17663]"
141,"[15578, 18381, 6253, 13237, 18266, 12563, 360, 18728, 381, 19662]"
142,"[9253, 1300, 8348, 559, 18156, 16255, 5474, 9760, 73, 8111]"
143,"[20172, 868, 8491, 4401, 7506, 14732, 14826, 10251, 18920, 15187]"
149,"[19783, 4364, 13980, 11896, 12182, 15570, 6331, 10496, 14758, 9537]"
164,"[6408, 3161, 12056, 19856, 18599, 2358, 9003, 12623, 8408, 16845]"
169,"[7157, 11268, 18615, 6901, 14213, 19858, 4710, 13043, 2253, 9982]"
180,"[6433, 17515, 16846, 14453, 20571, 436, 18440, 1111, 15204, 14322]"
199,"[14149, 8487, 10825, 1944, 20145, 4513, 1804, 4756, 453, 17056]"
210,"[19305, 14904, 394, 16583, 2006, 387, 15511, 8112, 10977, 16486]"
220,"[9003, 9093, 1357, 1060, 521, 6408, 6776, 17550, 13734, 3410]"
221,"[15578, 6253, 360, 18381, 4460, 17096, 7059, 12563, 13782, 4364]"
227,"[9229, 3855, 4916, 18040, 12075, 7197, 559, 10672, 13730, 14289]"
228,"[18361, 1944, 4148, 4369, 9003, 11133, 7256, 8487, 1898, 18830]"
231,"[1687, 6695, 508, 1149, 15931, 2897, 17200, 13737, 16325, 10720]"
235,"[2000, 11510, 15185, 18645, 6223, 1513, 18090, 12712, 14370, 6624]"
239,"[6672, 17663, 18556, 8047, 12395, 9504, 3242, 11688, 8672, 17241]"
241,"[5359, 4026, 4058, 10706, 18421, 3788, 1641, 14178, 7163, 7545]"
244,"[13237, 15209, 16760, 17096, 360, 18728, 10391, 3190, 4186, 13782]"
255,"[10250, 13101, 3885, 573, 1746, 17239, 14052, 13139, 11107, 10264]"
256,"[1060, 8356, 4640, 6606, 19462, 4447, 19867, 12666, 18404, 19340]"
258,"[11366, 4364, 14591, 6253, 360, 15209, 1746, 14395, 6556, 15578]"
262,"[14008, 2151, 19364, 2627, 4422, 15779, 19838, 411, 4355, 19254]"
265,"[8155, 11200, 16009, 14180, 13032, 20591, 3067, 11243, 5664, 3169]"
268,"[3855, 5817, 56, 14149, 3750, 18249, 4743, 11759, 18904, 559]"
270,"[7153, 13435, 16313, 14247, 14944, 20584, 638, 7941, 6472, 13957]"
271,"[19466, 14306, 394, 8342, 19075, 5023, 19305, 8033, 16100, 6788]"
272,"[12712, 6672, 15988, 2551, 13609, 18425, 1181, 2859, 15098, 3961]"
275,"[10264, 13237, 14591, 11107, 360, 17239, 6253, 1719, 13782, 318]"
277,"[7224, 6971, 16673, 7545, 20163, 1023, 10481, 11715, 8640, 14659]"
290,"[14907, 13406, 10957, 11715, 4148, 18404, 4513, 507, 2508, 1944]"
302,"[10269, 13029, 20169, 3001, 16994, 1641, 3551, 4026, 16601, 7163]"
303,"[9473, 18824, 9834, 2551, 19969, 5149, 7961, 1992, 17663, 4672]"
310,"[8749, 6557, 13259, 20443, 16451, 12164, 4603, 9963, 7811, 19243]"
315,"[19487, 17056, 8526, 7701, 4029, 7256, 20447, 15778, 5261, 4084]"
316,"[9388, 3907, 4774, 6920, 13599, 10521, 8138, 9718, 8645, 12539]"
326,"[17034, 20169, 9941, 10636, 2912, 18074, 12639, 16820, 8304, 1069]"
332,"[2088, 15558, 7312, 10013, 5881, 8573, 1357, 16998, 18661, 13149]"
337,"[10848, 14826, 963, 16994, 1085, 868, 8033, 16866, 11664, 8866]"
362,"[16494, 17281, 2052, 8265, 1641, 8452, 2164, 11006, 12622, 2090]"
365,"[8437, 14659, 16433, 20461, 12765, 13129, 13212, 8540, 20135, 7989]"
368,"[10629, 14395, 2674, 9705, 10264, 7009, 11739, 13782, 14591, 12261]"
370,"[20558, 5455, 18679, 5297, 19509, 12246, 15360, 10873, 11025, 12526]"
