playlist_id,track_ids
3,3321 13960 18344 6579 12111 10293 344 1111 752 9740
6,8749 20242 1111 20169 8275 12311 12393 4910 5924 10711
7,17154 14765 8749 5924 4603 13542 12311 4052 20443 4189
17,7416 9246 9882 9580 9471 18755 9655 2918 4253 6223
18,18578 13941 15716 5167 14879 8890 5640 19191 3130 11297
19,16973 19411 4923 18906 3835 2306 4466 9359 4152 12164
20,14591 13237 13980 13139 10264 8956 13101 15578 7619 573
25,4202 16866 11943 1111 7545 1422 699 7077 18991 3788
29,8001 2159 12075 9231 56 15341 2508 16708 6776 3903
34,6285 14751 1357 5746 3260 11507 7517 17819 15386 19540
36,13139 2674 2912 17239 18381 13237 8956 11107 6253 541
40,18418 8796 7550 8960 3880 14555 11014 13678 15464 1486
48,16502 648 20172 10848 7506 4949 20515 8491 8145 4401
50,20287 17429 10041 13368 19166 12425 12963 20037 8229 15354
52,8838 1357 8456 19173 14827 18963 18254 9441 1935 6285
59,13670 3624 3860 1300 8167 11882 16521 9253 628 14022
60,1898 4111 4916 9229 14289 13862 1944 559 18669 15778
64,12507 10089 15038 5020 12765 2203 20532 8437 9717 16484
77,13542 5924 14714 17154 15498 20242 13424 8749 4603 7478
80,14683 9670 7323 11654 3413 18026 3919 14679 19205 15335
83,14826 1111 8145 2736 4910 10711 11943 1422 19214 8866
85,13980 15578 14591 15209 13237 18381 14395 17239 2740 360
88,19243 20443 16973 14714 11257 2765 17154 15438 12164 15650
89,18617 13250 17774 14758 3347 19055 11196 11638 18266 2891
98,9477 4745 16583 8342 14904 16100 394 10100 11483 3799
106,20263 6103 10848 18096 15474 2873 1591 5572 10567 2497
107,9291 2912 16820 9826 15669 9710 10112 11070 7009 10629
115,8145 14826 10848 20172 4401 868 7506 1189 2497 12510
138,18856 19825 18824 17663 5149 5651 6137 9473 15322 10834
141,15578 13237 6253 18381 14395 360 18728 17239 12563 3885
142,1300 5474 12931 73 17563 9253 3860 13670 4952 123
143,20172 8491 4401 14826 7506 868 5606 10251 11943 15187
149,13980 4364 10496 6253 16471 14758 18728 6892 3347 19783
164,6408 12623 18599 9003 12056 8709 19856 8466 13401 3161
169,19858 7157 7739 9982 14213 13043 14375 2417 18615 6985
180,17515 14453 2088 436 17420 7400 20242 5606 16820 2780
199,8487 1944 10825 18815 18361 8138 507 4513 1804 14149
210,16583 14904 19305 394 2006 14509 8112 10977 10742 18743
220,9003 6408 6776 1357 14033 8709 7544 8466 1060 8045
221,15578 6253 360 18381 17096 4364 10264 2740 13782 12563
227,9229 12075 18040 3855 4916 7197 4743 14289 13862 4023
228,18361 9003 4743 19462 2508 9231 16708 4148 18404 16521
231,6695 8138 1149 17200 405 1687 15931 7264 4865 18830
235,2000 11510 18090 15185 6624 14370 10577 7416 1513 3961
239,17663 6672 9246 2551 19969 3242 18824 10834 15988 18645
241,5359 1641 4026 10706 18421 15090 7163 3375 4058 5786
244,13237 360 15578 14395 18728 15209 10264 13139 17096 4364
255,3885 10250 13139 13101 17239 15578 573 13980 8956 1746
256,19462 1060 18404 16708 14907 12931 2508 11882 13670 19340
258,14591 11366 6253 4364 15209 14395 360 18381 15578 10264
262,15640 17154 19364 10419 4189 4013 15779 11233 14714 2151
265,8155 11200 16009 14180 3067 13032 20591 5664 3169 607
268,5817 3855 4743 56 3750 20329 9231 4023 14149 18249
270,7153 14944 7941 3749 7264 13957 14247 17143 638 19169
271,15931 12674 19075 19466 17897 394 3192 16100 14903 8749
272,12712 15988 2551 6672 3961 18645 15098 8731 17635 7490
275,13237 10264 14591 6253 360 13980 8956 17239 15578 11107
277,10481 7224 8640 14659 16673 6971 1023 4301 8437 11715
290,14907 2508 18404 19462 4148 12931 9003 16521 13670 7544
302,10269 20169 7163 1714 16994 16601 13029 4026 16866 3551
303,17663 4253 2551 19969 9473 18824 4672 3961 663 3242
310,8749 20443 19243 4603 7811 6557 16451 11233 9676 12164
315,8526 17056 4029 1944 8999 15778 7256 8356 17249 17200
316,9388 4774 8138 13599 10521 12539 6920 8645 2508 5125
326,17034 20169 9941 12639 16601 16820 10636 3811 8304 7475
332,1357 5881 15558 10013 14583 18661 2088 7312 8573 19555
337,10848 14826 7506 20172 4910 8866 5141 8491 10269 868
362,16494 12622 18876 6918 4566 8452 2518 13731 222 7463
365,8437 12765 13129 7989 16433 9984 20135 11157 14659 20461
368,6253 13980 14591 10264 15578 360 2674 17239 14395 18649
370,18679 20558 5297 5455 12526 2197 12246 15360 15458 19733
378,6925 1830 20371 5778 19321 4707 11282 11722 19775 9430
392,2674 13139 15578 11070 3885 11107 8956 5606 10250 6253
401,10848 20263 16502 14826 2497 4910 2272 20172 8145 17584
403,5020 5485 8437 9491 20359 12765 2247 20135 12507 3304
407,7550 17404 18418 3880 2920 18899 5527 9528 11192 15485
408,13980 14591 15209 6253 8956 18728 13237 14395 18381 14527
413,20169 37 15090 10269 15781 16379 7545 1111 16866 10706
422,3256 8640 2922 4433 2489 4089 14012 13297 4467 508
432,16930 520 3944 8950 8498 19152 6492 15967 6577 19058
437,16930 15360 5893 520 19556 17359 3944 2204 20497 8498
441,4865 405 8498 8138 19733 17200 15360 14149 1502 6695
448,14659 5485 10089 19624 20532 5020 9717 14046 12765 7907
451,4026 15781 1587 20169 3551 10269 10708 15661 3788 5359
452,10250 11107 17239 15578 1746 8956 18381 6253 13237 13980
455,13276 11016 2807 4072 395 4201 1333 5139 6911 5527
460,8956 13980 6253 18381 17239 14395 3885 18728 13139 10264
467,10926 16861 20121 19205 8297 2392 18026 2869 5878 15312
