playlist_id,track_ids
3,"[6579, 3321, 13960, 18344, 12111, 10293, 344, 17647, 1755, 17348]"
6,"[7475, 3483, 9500, 1133, 4686, 10527, 797, 17888, 12670, 20169]"
7,"[14433, 16944, 20558, 16721, 17720, 9006, 17221, 3797, 5324, 18417]"
17,"[13875, 9606, 9246, 2711, 4553, 7865, 18423, 1731, 762, 10206]"
18,"[3438, 18578, 18678, 5390, 17476, 5231, 16744, 11951, 3130, 9395]"
19,"[13207, 436, 12115, 3326, 16899, 3172, 1478, 2402, 17715, 13408]"
20,"[14451, 9447, 11731, 5224, 8058, 4393, 9526, 18637, 17096, 9503]"
25,"[10839, 8516, 10308, 8610, 14155, 11878, 14433, 12493, 13171, 14802]"
29,"[20277, 5201, 16589, 8932, 5293, 6408, 10299, 19798, 12623, 9706]"
34,"[12033, 8349, 12702, 20306, 30, 17592, 12481, 13160, 11423, 16501]"
36,"[19939, 12154, 12203, 968, 14765, 8647, 17355, 9941, 1121, 12625]"
40,"[7527, 16402, 2735, 5487, 11363, 16466, 4663, 16800, 8107, 16436]"
48,"[6629, 6844, 16275, 1859, 931, 11736, 9920, 18891, 6883, 6877]"
50,"[5169, 19578, 16987, 10744, 2232, 6981, 12999, 15354, 8133, 2330]"
52,"[14827, 11604, 17669, 8113, 3585, 11768, 12061, 9441, 16293, 6744]"
59,"[11882, 19340, 228, 3609, 277, 3624, 16521, 13128, 19533, 10071]"
60,"[10201, 6087, 13872, 559, 3942, 18475, 3009, 14443, 17511, 19867]"
64,"[12051, 13180, 12507, 10089, 6971, 6768, 6376, 15547, 2672, 10404]"
77,"[7478, 14556, 14668, 5973, 9913, 14309, 1992, 3500, 2888, 734]"
80,"[16391, 10203, 4532, 14683, 2988, 3119, 4185, 18382, 9594, 5878]"
83,"[9960, 5422, 7033, 19214, 14008, 10458, 11993, 14352, 5597, 20286]"
85,"[1626, 4931, 16309, 20342, 11679, 11373, 18088, 8134, 2868, 10336]"
88,"[12203, 8647, 12625, 20046, 9829, 9819, 14249, 5359, 4583, 1133]"
89,"[18058, 2888, 4259, 10885, 7325, 158, 9715, 835, 18855, 15105]"
98,"[2755, 3278, 18190, 2494, 7387, 3631, 10346, 7278, 19500, 1130]"
106,"[5020, 3577, 5046, 19216, 12949, 15320, 5485, 15023, 6021, 1437]"
107,"[3745, 1626, 20481, 10629, 15748, 11457, 15970, 10624, 2912, 20105]"
115,"[18653, 6109, 15951, 12510, 18986, 7649, 425, 4288, 99, 5309]"
138,"[10960, 17913, 12835, 18164, 2836, 19053, 16497, 14210, 829, 4283]"
141,"[16535, 5647, 11900, 7610, 5978, 7350, 17432, 14247, 455, 6411]"
142,"[979, 17141, 13218, 9026, 5956, 714, 8111, 18293, 6217, 16227]"
143,"[19064, 13805, 10037, 8118, 1726, 10610, 14155, 8990, 20156, 18874]"
149,"[5978, 42, 4569, 17432, 15314, 7610, 9537, 14880, 10443, 1197]"
164,"[12056, 3161, 14978, 15584, 1481, 10091, 13031, 15739, 9426, 5201]"
169,"[8374, 7220, 13127, 15234, 7275, 6901, 20439, 13078, 6296, 13043]"
180,"[8412, 7397, 11101, 550, 2117, 17157, 13551, 15926, 14453, 18349]"
199,"[111, 4756, 18762, 10152, 12038, 8487, 16572, 7187, 507, 3212]"
210,"[14974, 16772, 20225, 15735, 10466, 18503, 9753, 14509, 20474, 18239]"
220,"[16396, 10564, 1828, 1357, 12742, 15598, 5925, 14914, 16068, 1715]"
221,"[5340, 13357, 204, 3729, 17671, 7286, 18201, 7137, 11119, 7891]"
227,"[10672, 15270, 16255, 8483, 4963, 1701, 14149, 14867, 11065, 15972]"
