playlist_id,track_ids
3,13960 344 18344 6579 12111 3321 10293 10838 18287 7578
6,5545 443 8134 3630 20169 16971 4302 19713 3121 1133
7,4492 734 4032 1651 1841 20320 20558 7816 17888 5324
17,9606 13875 9246 1731 3163 15356 10206 4553 7865 762
18,3130 18578 18678 5402 17476 18495 17617 5483 15716 15199
19,10689 18446 11629 14077 10396 2184 19256 14482 5890 1142
20,16760 9105 8058 14591 4393 16612 2855 792 1610 3092
25,20195 14155 8516 12145 11156 8066 1715 1726 1209 16995
29,5925 5098 8932 6408 5201 12623 10825 20586 13803 13632
34,16501 3139 8349 3594 12702 6639 17462 30 14222 14751
36,5108 2698 19223 11965 18557 1373 18834 18363 9490 10880
40,7527 11363 4663 8107 16800 16436 5487 2437 772 3197
48,648 12639 8767 9291 9537 19699 20025 17926 16470 19217
50,15643 15954 19166 8044 12999 1018 11663 2888 12963 413
52,3585 11945 17520 15913 17669 16293 5815 14827 11768 9441
59,16227 5268 4808 17506 3720 19690 8502 5474 4456 19700
60,13374 1948 10201 17192 694 8662 9467 7701 11702 16755
64,13180 7405 8736 14128 6971 10089 15038 12507 10404 16383
77,16307 1970 11763 2750 15826 14498 1093 17464 19480 14309
80,4532 14683 3119 10203 16391 2988 10208 14318 6883 6882
83,7033 14008 2022 9271 2012 9960 5422 19214 6196 715
85,4931 314 15970 1626 11457 7761 20105 13101 11943 4515
88,4583 18685 13563 9428 1437 20046 8647 12625 9829 12203
89,4259 14309 15088 18058 12999 18855 5169 2888 6981 13671
98,3453 14509 12762 16583 20474 17944 9753 2858 10921 10466
106,10768 2700 1328 7507 18876 16494 2518 4102 316 7463
107,6565 6837 10624 7833 18774 9710 3745 15669 15748 5180
115,19790 16369 7649 3519 13697 20549 11234 19052 5097 20235
138,14210 1340 8294 5882 18164 19053 829 16497 12835 10960
141,13957 18301 7350 17143 19838 7941 14944 3433 19169 7264
142,9026 12658 16255 969 13218 16227 17141 979 19995 19482
143,2298 5583 7647 7649 17768 20483 10037 10507 8367 10610
149,4569 7610 15314 17432 5978 42 9537 6331 15570 12497
