playlist_id,track_ids
3,"[13960, 10293, 3321, 18344, 344, 6579, 12111, 752, 9740, 8066]"
6,"[8749, 1111, 20242, 4910, 10711, 11943, 12393, 8275, 16866, 20169]"
7,"[17154, 5924, 13542, 4603, 14765, 8749, 12311, 4189, 11233, 10100]"
17,"[7416, 9246, 9882, 9580, 9471, 14572, 9655, 9847, 6223, 18755]"
18,"[13941, 15716, 8890, 18578, 14879, 1302, 5167, 20435, 3130, 5640]"
19,"[16973, 19411, 3835, 2306, 4923, 18906, 12164, 9359, 4152, 11810]"
20,"[14591, 13237, 13980, 10264, 13139, 8956, 15578, 13101, 17239, 18728]"
25,"[4202, 19134, 16866, 7545, 699, 1422, 7077, 11943, 1111, 2018]"
29,"[8001, 2159, 15341, 3903, 12075, 1944, 8138, 2508, 9231, 56]"
34,"[6285, 1357, 14751, 5746, 15386, 11507, 13734, 13820, 17819, 1850]"
36,"[13139, 2674, 17239, 8956, 18381, 13237, 11107, 13980, 6253, 360]"
40,"[8796, 18418, 7550, 3880, 1723, 8960, 1486, 11014, 15464, 14555]"
48,"[648, 8767, 7506, 8145, 14826, 16502, 4949, 11943, 2997, 868]"
50,"[20287, 20037, 17429, 10041, 13368, 15354, 8229, 12425, 13763, 12963]"
52,"[8838, 14827, 1357, 19173, 18963, 8456, 6285, 1935, 18254, 520]"
59,"[1300, 13670, 3624, 11882, 3860, 8167, 12931, 18404, 9253, 628]"
60,"[4916, 1898, 4111, 9229, 13862, 14289, 559, 1944, 5817, 16008]"
64,"[12507, 10089, 15038, 12765, 9717, 8437, 5020, 20532, 6157, 11740]"
77,"[13542, 17154, 5924, 14714, 15498, 7478, 20242, 4603, 13424, 8749]"
80,"[14683, 18026, 3919, 9670, 10203, 16391, 19205, 15335, 7323, 2186]"
83,"[1111, 14826, 8145, 19214, 4910, 8866, 10711, 11943, 3519, 2736]"
85,"[13980, 14591, 15578, 13237, 14395, 18381, 15209, 360, 17239, 2740]"
88,"[19243, 16973, 20443, 11257, 14714, 2765, 4965, 17154, 12164, 15438]"
89,"[18617, 17774, 13250, 19055, 14758, 11196, 11638, 3347, 18266, 6494]"
98,"[9477, 16583, 4745, 10100, 16100, 14904, 8342, 9804, 15498, 3799]"
106,"[20263, 10848, 15474, 6103, 18096, 2873, 12436, 411, 20172, 2497]"
107,"[9291, 15669, 9710, 16820, 11070, 10112, 9826, 1719, 17568, 7009]"
115,"[14826, 8145, 10848, 20172, 12510, 7506, 868, 3830, 4401, 8866]"
138,"[18856, 17663, 18824, 19825, 5149, 5651, 9473, 15322, 6137, 4253]"
141,"[15578, 13237, 6253, 18728, 18381, 14395, 17239, 360, 3885, 12563]"
142,"[1300, 9253, 5474, 12931, 13670, 3860, 17563, 13406, 73, 17740]"
143,"[20172, 8491, 4401, 868, 7506, 14826, 11943, 14732, 10251, 15187]"
149,"[13980, 4364, 19783, 6253, 10496, 18728, 14591, 15570, 360, 14758]"
164,"[6408, 12623, 9003, 18599, 8709, 19856, 12056, 8466, 14430, 15050]"
169,"[7157, 19858, 14213, 7739, 13043, 6901, 14375, 18615, 4710, 11268]"
180,"[17515, 6433, 436, 17420, 14453, 7400, 20242, 2088, 2402, 20571]"
199,"[14149, 8487, 1944, 9229, 1898, 11258, 4916, 11759, 12075, 18815]"
210,"[16583, 14904, 394, 19305, 14509, 10977, 10742, 18743, 8112, 387]"
220,"[9003, 6408, 6776, 1060, 7544, 8709, 8045, 14033, 2508, 19340]"
221,"[6253, 15578, 360, 17096, 18381, 4364, 2740, 10264, 7059, 13782]"
227,"[9229, 18040, 3855, 4916, 7197, 13862, 4023, 14289, 16008, 12075]"
228,"[18361, 4148, 1944, 19462, 4743, 16708, 2508, 4369, 18404, 2730]"
231,"[520, 20007, 3944, 6695, 6287, 17359, 16457, 9314, 15931, 19058]"
235,"[2000, 11510, 18645, 7416, 18090, 3961, 6223, 14370, 6624, 1513]"
239,"[17663, 6672, 2551, 19969, 9246, 10834, 18824, 3242, 14147, 8047]"
241,"[5359, 4026, 1641, 10706, 18421, 3788, 15090, 5100, 7163, 4058]"
244,"[360, 13237, 15209, 18728, 10264, 15578, 14395, 17096, 13139, 4364]"
255,"[3885, 10250, 13139, 13101, 573, 17239, 1746, 15578, 18649, 11107]"
256,"[19462, 1060, 8356, 18404, 14907, 16708, 13670, 2508, 18361, 12931]"
258,"[11366, 14591, 15209, 6253, 4364, 360, 14395, 18381, 15578, 10264]"
262,"[10848, 14008, 2151, 411, 20172, 3830, 12510, 14826, 3519, 5141]"
265,"[8155, 16009, 11200, 3067, 20591, 14180, 3169, 5664, 11243, 11696]"
268,"[5817, 3855, 4743, 56, 14149, 9231, 3750, 20329, 10975, 11759]"
270,"[7153, 14944, 7941, 7264, 3749, 17143, 13957, 19169, 14247, 638]"
271,"[394, 19466, 19075, 8342, 16100, 19305, 10691, 5023, 16583, 14306]"
272,"[12712, 6672, 3961, 15988, 2551, 18645, 18852, 15098, 17635, 7490]"
275,"[13237, 6253, 14591, 10264, 13980, 360, 17239, 8956, 15578, 2674]"
277,"[10481, 7224, 8640, 16673, 4301, 20163, 6971, 15942, 11715, 1023]"
290,"[14907, 2508, 18404, 19462, 4148, 12931, 2730, 16521, 13670, 7544]"
302,"[10269, 20169, 13029, 16994, 1714, 16601, 2627, 5606, 8866, 5141]"
303,"[17663, 2551, 19969, 9473, 4253, 18824, 663, 4672, 9834, 14147]"
310,"[8749, 20443, 4603, 19243, 6557, 16451, 9676, 7811, 12164, 4052]"
315,"[8526, 17056, 4029, 15778, 7256, 7701, 12550, 8999, 17249, 1944]"
316,"[9388, 4774, 10521, 13599, 8138, 8645, 6920, 2508, 9718, 5125]"
326,"[17034, 20169, 9941, 16820, 12639, 2912, 18074, 8304, 10636, 16601]"
332,"[15558, 2088, 17420, 7577, 9034, 3418, 13783, 2418, 7312, 8418]"
337,"[10848, 14826, 20172, 7506, 10269, 18096, 8866, 963, 16866, 8491]"
362,"[8452, 2164, 12622, 16494, 1641, 6918, 2518, 13846, 4566, 18876]"
365,"[8437, 14659, 20461, 12765, 20135, 13129, 7989, 5020, 6732, 11157]"
368,"[13980, 6253, 14395, 14591, 15578, 360, 10264, 17239, 18649, 18728]"
370,"[18679, 12526, 5297, 15360, 19733, 2197, 15458, 20558, 7478, 5455]"
378,"[6925, 1830, 20371, 5778, 19321, 4707, 11282, 11722, 19775, 13517]"
392,"[2674, 13139, 15578, 11107, 11070, 3885, 8956, 5606, 9705, 10250]"
401,"[10848, 16502, 14826, 20263, 2497, 4910, 8145, 20172, 11943, 17584]"
403,"[5020, 20359, 5485, 8437, 12765, 9491, 14456, 20135, 2203, 16340]"
407,"[7550, 18418, 3880, 9528, 2920, 17404, 18899, 7147, 11192, 13678]"
408,"[13980, 15209, 14591, 6253, 18728, 14527, 8956, 14395, 13237, 2740]"
413,"[15090, 20169, 37, 15781, 10269, 4058, 1641, 10706, 16866, 5564]"
422,"[14012, 4433, 4467, 13297, 1180, 2489, 10259, 8640, 3256, 4089]"
432,"[16930, 8950, 520, 19152, 3944, 8498, 6492, 17359, 15967, 1979]"
437,"[20497, 16930, 19556, 3944, 520, 5893, 20007, 6577, 15471, 913]"
441,"[405, 4865, 19733, 8498, 17200, 8138, 14149, 15360, 1502, 1944]"
448,"[18096, 17774, 13216, 20263, 2272, 14758, 7485, 2873, 11638, 19254]"
451,"[15781, 4026, 1587, 20169, 3551, 3788, 10269, 10708, 5359, 18332]"
452,"[10250, 11107, 17239, 1746, 5606, 15578, 8956, 6253, 13237, 13101]"
455,"[13276, 395, 4072, 5527, 4201, 2807, 11016, 14718, 14832, 5139]"
460,"[8956, 13980, 6253, 18381, 14395, 17239, 3885, 18728, 11107, 13139]"
467,"[10926, 16861, 20121, 19205, 8297, 18026, 2392, 15312, 2869, 5878]"
470,"[5606, 7506, 648, 12510, 2997, 14826, 20172, 10848, 868, 8866]"
492,"[8749, 5924, 20242, 1063, 14765, 12311, 19243, 20443, 11233, 14714]"
495,"[8749, 10100, 17200, 17820, 11074, 9963, 5668, 15498, 11233, 14668]"
497,"[541, 3885, 6253, 2674, 15578, 13139, 13101, 11107, 8956, 10250]"
500,"[1641, 12721, 5359, 1020, 18421, 14904, 4026, 3375, 2665, 10742]"
504,"[10277, 193, 3124, 3195, 3364, 19065, 3024, 13711, 7717, 11315]"
505,"[1898, 9229, 18040, 3855, 7197, 6453, 14289, 10975, 4023, 16008]"
509,"[5606, 8767, 16820, 2997, 2437, 7506, 12510, 14826, 4910, 8822]"
514,"[17096, 2740, 14591, 1494, 6253, 5928, 1260, 360, 18728, 14527]"
515,"[108, 9645, 16686, 7751, 8978, 19735, 1066, 5349, 19055, 20483]"
527,"[12128, 5840, 14660, 4709, 20008, 20022, 16348, 20043, 19391, 19162]"
528,"[5881, 15558, 9034, 7400, 2088, 17715, 20408, 16820, 17515, 8418]"
529,"[20172, 8491, 7506, 1111, 11943, 8145, 4910, 411, 868, 17584]"
532,"[18254, 2417, 14375, 19858, 797, 7739, 14213, 4710, 1473, 8796]"
537,"[20145, 15093, 6246, 12879, 19956, 8926, 1730, 233, 20373, 5658]"
545,"[6925, 1830, 20371, 18285, 5674, 16465, 19091, 7436, 18547, 19352]"
552,"[19462, 1300, 18404, 8600, 16708, 8167, 11882, 16521, 3624, 17586]"
554,"[2674, 8956, 17239, 4965, 8749, 11107, 16973, 13237, 15578, 18381]"
558,"[11257, 4052, 3648, 5042, 8749, 15650, 1373, 12311, 13424, 4189]"
559,"[4672, 6672, 3242, 17663, 2551, 18824, 19969, 6821, 7490, 9473]"
564,"[7416, 6223, 2000, 10834, 15185, 2359, 17663, 9580, 4253, 20247]"
567,"[4072, 4201, 7844, 8333, 6911, 10870, 2631, 10316, 18751, 16204]"
574,"[8045, 9003, 660, 7544, 3606, 5750, 1253, 12931, 9231, 6776]"
