playlist_id,track_ids
3,3321 10293 13960 344 18344 6579 12111 752 9740 8066
6,8749 1111 20242 8275 20169 12311 5924 4910 20443 12393
7,17154 5924 14765 8749 4189 13542 4603 12311 10100 11233
17,9246 7416 9882 9580 9471 9655 4253 14572 6223 9847
18,18578 13941 5167 15716 8890 14879 1302 19191 5640 3130
19,16973 19411 18906 3835 4923 4466 2306 9359 12164 8749
20,14591 13237 13139 13980 10264 8956 15578 13101 17239 573
25,4202 11943 1111 16866 1422 8145 7545 18991 3788 17346
29,8001 2159 15341 12075 3903 1944 8138 2508 56 18361
34,6285 1357 9803 6951 12243 1850 7311 13820 18963 17819
36,13139 2674 17239 8956 2912 11107 13237 18381 10250 541
40,8796 18418 7550 3880 8960 14555 13678 1723 11014 1486
48,648 7506 8145 16502 8767 10848 14826 20172 11943 4949
50,20287 17429 19166 20037 13368 10041 15354 12963 14770 8229
52,9441 8456 1434 17247 8838 1357 18254 1935 9007 19173
59,3624 1300 13670 8167 11882 3860 628 3237 9253 14022
60,1944 1898 15778 4111 4916 7256 19119 9229 13862 14289
64,5604 2203 4653 9717 6157 12507 8067 15347 19777 19020
77,13542 17154 14714 5924 15498 13424 7478 8749 4603 20242
80,14683 10203 3919 18026 16391 9670 19205 15335 20121 5878
83,14826 1111 19214 4910 10711 8145 8866 11943 7506 16866
85,13980 14591 15209 15578 2740 14395 11366 13237 18381 18728
88,19243 20443 16973 14714 11257 17154 2765 15650 4965 12164
89,18617 13250 17774 14758 3347 19055 11638 18266 11196 12563
98,10100 9477 4745 12311 15498 17634 5924 16583 16100 14714
106,20263 15474 6103 18096 2873 1591 12278 20295 5572 12436
107,15669 9291 9710 16820 10112 9826 7009 1719 11070 17568
115,14826 20172 10848 8145 7506 4401 868 411 2497 12510
138,18856 18824 19825 17663 5149 10834 15322 5651 9473 6137
141,15578 6253 13237 18381 360 17239 18728 14395 3885 13139
142,1300 9253 5474 13670 3860 12931 17563 73 13406 19462
143,20172 8491 7506 14826 4401 868 11943 5606 10251 14732
149,13980 4364 6253 360 14591 18728 15570 14758 18381 11366
164,6408 12623 9003 18599 19856 8709 16845 14430 8466 12056
169,7157 19858 6901 11268 7739 14226 9982 14375 13043 2417
180,17515 14453 17420 2088 7400 436 6433 16820 9034 20242
199,8487 1944 17056 18815 507 10825 1804 7256 9229 14149
210,16583 14904 19305 2006 14509 394 10977 8112 6220 5751
220,9003 6408 6776 13734 17550 1357 7544 3410 1060 14033
221,6253 15578 360 17096 18381 2740 10264 4364 7059 12563
227,9229 18040 4916 3855 12075 7197 13862 14289 4743 16008
228,1944 18361 4148 2508 9003 4743 19462 18404 2730 4369
231,508 16457 520 1898 8138 18361 17200 20007 6695 3944
235,11510 2000 18090 15185 6624 7416 10577 14370 6223 1513
239,17663 6672 9246 2551 3242 19969 18824 18645 10834 8047
241,5359 4026 10706 1641 18421 5100 3788 7163 15090 7545
244,360 15209 13237 18728 14395 15578 17096 10264 13782 13139
255,10250 3885 13139 573 17239 1746 14052 11107 18649 13101
256,19462 1060 13670 18404 16708 8356 14907 5655 11882 12931
258,14591 11366 6253 4364 360 14395 15209 18381 15578 10264
262,411 14008 1149 20172 10848 12721 4422 8491 4514 15771
265,8155 16009 14180 3067 20591 13032 11200 3169 5664 14066
268,5817 3855 56 4743 14149 3750 9231 10975 20329 11759
270,7153 14944 14247 7941 956 19589 3749 7264 660 13957
271,8342 19075 19466 14306 394 5023 6788 16100 15931 16583
272,12712 3961 6672 15988 2551 18645 15098 1271 18425 18852
275,13237 10264 6253 14591 360 13980 17239 8956 15578 2674
277,10481 16673 4301 7224 6971 8640 14659 7989 1023 14360
290,14907 2508 19462 18404 12931 16521 13670 4148 7544 2730
302,10269 20169 1714 2627 16866 4026 16994 13029 16601 8866
303,17663 19969 2551 9473 4253 18824 9834 663 4672 14147
310,8749 19243 20443 4603 6557 7811 16451 12164 9676 16973
315,15778 8526 12550 7256 17056 4029 19487 7701 17249 1944
316,9388 4774 10521 13599 8645 6920 8138 9718 9944 4148
326,17034 9941 10636 18074 3811 16820 2912 8304 1069 10629
332,15558 1357 2088 5881 10013 8573 7312 3418 17420 9034
337,18096 14826 10848 2873 18266 12436 4106 10269 8866 15474
362,16494 12622 6918 18876 8452 2518 222 13731 4566 7463
365,8437 14659 20461 12765 20135 6732 13129 7989 5020 2980
368,6253 13980 14591 10264 15578 14395 360 17239 18649 2674
370,18679 5297 20558 5455 12526 2197 15360 12246 1473 15458
378,1830 6925 20371 5778 19321 4707 11722 19775 11282 13517
392,2674 13139 11070 15578 8956 3885 11107 5606 10250 6253
401,16502 10848 14826 4910 20263 8145 2497 11943 20515 20172
403,5020 5485 20359 9491 8437 12507 2203 2247 16802 3304
407,7550 17404 5527 2920 18418 3880 2719 10659 10316 9528
408,13980 14591 15209 6253 8956 14395 18728 14527 13237 360
413,15090 4058 1641 15781 5564 37 6971 1023 20169 2164
422,3256 8640 4433 1180 13297 4467 14012 10259 2489 2922
432,16930 520 8950 3944 19152 6492 15967 6577 1979 20497
437,16930 20497 3944 19556 520 20007 5893 15471 8950 19048
441,8498 19733 8138 17200 4865 405 15360 14149 6695 1944
448,11740 5485 5020 13216 10016 11512 17774 20532 20263 20359
451,1587 15781 4026 20169 3788 12768 14378 5152 3551 1111
452,10250 11107 17239 15578 6253 8956 13237 1746 18381 14052
455,4072 5527 4201 13276 11016 395 13573 10249 6915 1333
