playlist_id,track_ids
3,"[3321, 18344, 13960, 6579, 10293, 12111, 344, 1111, 3611, 752]"
6,"[8749, 20242, 1111, 11943, 10711, 4910, 8275, 20443, 12311, 12393]"
7,"[17154, 14765, 5924, 8749, 13542, 4603, 4052, 12311, 4189, 20443]"
17,"[9246, 7416, 9882, 9580, 9471, 2918, 4253, 6223, 13347, 8768]"
18,"[18578, 5167, 13941, 19191, 11951, 15716, 18107, 5640, 1302, 14879]"
19,"[16973, 19411, 18906, 12164, 4466, 3835, 2306, 15438, 8749, 11810]"
20,"[14591, 13139, 16760, 13101, 13237, 10264, 573, 13980, 7619, 1746]"
25,"[4202, 16866, 699, 19134, 11943, 7077, 7545, 1111, 1422, 2018]"
29,"[8001, 12075, 56, 9231, 2159, 2508, 15341, 1944, 8138, 18361]"
34,"[6285, 1357, 14751, 12243, 1850, 17819, 9803, 6581, 13820, 20076]"
36,"[13139, 2674, 17239, 18381, 13237, 8956, 11107, 13980, 14591, 6253]"
40,"[8796, 18418, 7550, 3880, 1723, 11014, 14555, 8960, 13678, 1486]"
48,"[648, 20172, 16502, 7506, 20515, 8491, 8767, 10848, 8145, 4949]"
50,"[20287, 15354, 17429, 20037, 10041, 8229, 13368, 19166, 32, 12425]"
52,"[9441, 8838, 1357, 14827, 18254, 19173, 18963, 1434, 8456, 16293]"
59,"[13670, 1300, 3624, 11882, 3860, 8167, 16521, 18404, 628, 9253]"
60,"[4111, 15778, 1944, 4916, 9229, 19119, 559, 1898, 10201, 7256]"
64,"[10089, 12507, 15038, 12765, 9717, 5020, 20532, 5604, 8437, 2203]"
77,"[13542, 7478, 5924, 15498, 362, 19590, 20242, 13424, 17154, 1461]"
80,"[14683, 10203, 16391, 3919, 18026, 19205, 9670, 15335, 20121, 10926]"
83,"[2736, 2012, 19214, 14826, 10711, 8145, 11943, 1111, 4910, 877]"
85,"[13980, 15209, 14591, 14395, 2740, 15578, 18381, 11366, 13237, 360]"
88,"[19243, 20443, 16973, 14714, 11257, 2765, 4965, 17154, 15438, 15650]"
89,"[18617, 13250, 17774, 11196, 19055, 2891, 6494, 17063, 14758, 11638]"
98,"[10100, 15498, 12311, 12940, 17634, 5924, 16583, 14714, 9477, 15167]"
106,"[20263, 10848, 15474, 6103, 18096, 1591, 2873, 12436, 411, 20172]"
107,"[15669, 9710, 9291, 16820, 6837, 9826, 10112, 1719, 13006, 18875]"
115,"[14826, 8145, 10848, 20172, 7506, 12510, 868, 3830, 8866, 411]"
138,"[18856, 19825, 18824, 17663, 5149, 15322, 9473, 5651, 6137, 10834]"
141,"[15578, 6253, 13237, 18381, 360, 3885, 18728, 14395, 17239, 13139]"
142,"[1300, 9253, 12931, 13670, 5474, 3860, 17563, 73, 19462, 13406]"
143,"[20172, 4401, 868, 8491, 7506, 14826, 11943, 15187, 14732, 10251]"
149,"[4364, 13980, 15570, 19783, 6253, 360, 14591, 18728, 10496, 12182]"
164,"[6408, 12623, 12056, 19856, 18599, 9003, 8709, 8466, 14430, 7185]"
169,"[7157, 19858, 13043, 14213, 7739, 14375, 18615, 4710, 18254, 2253]"
180,"[17515, 20242, 14453, 7400, 436, 2088, 16820, 17420, 9034, 20571]"
199,"[6246, 4756, 17056, 1944, 15093, 1804, 8487, 15778, 12879, 233]"
210,"[16583, 394, 14904, 19305, 14509, 10977, 10742, 8112, 11646, 15750]"
220,"[9003, 6776, 1060, 6408, 7544, 8709, 14033, 8045, 2508, 19340]"
221,"[6253, 15578, 360, 18381, 17096, 4364, 2740, 10264, 3885, 13782]"
227,"[9229, 18040, 4916, 12075, 3855, 7197, 13862, 14289, 4023, 6776]"
228,"[18361, 1944, 4148, 19462, 4743, 9003, 2508, 2730, 16521, 16708]"
231,"[508, 8640, 2989, 1687, 10481, 15931, 6695, 17200, 3950, 8138]"
235,"[11510, 2000, 15185, 7416, 6624, 18090, 10577, 14370, 6223, 17241]"
239,"[17663, 6672, 9246, 2551, 8047, 17635, 10834, 11510, 3242, 18645]"
241,"[5359, 1641, 18421, 4026, 10706, 4058, 15090, 3375, 5100, 7163]"
