playlist_id,track_ids
3,344 10293 752 3321 12111 13960 18344 6579 9740 2336
6,10711 1111 4910 11943 20242 8275 1523 8749 12510 17346
7,14765 17154 4052 5924 20443 13542 5042 10300 11257 3648
17,9246 9580 9882 14572 13347 7416 18755 9847 9655 9471
18,18578 15716 13941 1302 8890 18763 5167 3130 11297 14879
19,2306 3835 4152 19411 16973 6557 4923 18906 8690 4466
20,7619 13237 10264 13101 14591 13139 573 16760 4795 15578
25,4202 699 19134 1900 7077 18567 5620 463 10596 11943
29,12075 2159 8001 15341 18361 3903 56 9231 3855 17820
34,6285 14751 6581 6951 1850 15386 19540 10367 1357 9803
36,13139 11107 18381 20134 17239 2674 6253 13237 11206 12599
40,8796 18418 7550 8960 1723 3880 11014 14555 20268 2317
48,648 16502 7506 12488 14732 8145 8491 20172 4949 2997
50,20287 13763 17429 11896 6897 20037 32 15354 5765 19166
52,8838 19173 8456 9441 14827 11425 6577 16293 17247 18963
59,13670 3624 1300 3860 628 8167 11882 1365 16521 18404
60,4916 1898 13862 4111 18904 18995 277 9229 14289 16008
64,5726 10089 5604 12507 9717 20532 15038 11740 12765 6005
77,13424 1698 7478 14360 4301 15498 8985 9346 19590 13542
80,18026 14683 9670 15335 3919 16391 12226 3982 10203 5878
83,2736 8145 2012 19214 16453 1111 14008 6444 3650 4796
85,15209 17239 13237 14591 18381 2740 15578 360 10264 13980
88,16973 19243 2765 20443 15438 11257 12164 6557 961 2505
89,18617 19055 11196 17774 13250 18266 3347 12563 11638 11661
98,16583 8342 9477 14904 4745 5023 394 9804 8033 16100
106,15474 6103 12436 1591 18096 20263 10567 14738 2873 11275
107,9291 15669 9710 16820 2912 9826 17568 7903 10013 10112
115,10848 14826 7506 20172 868 10251 411 8866 4288 1189
138,18856 17663 19825 5651 18824 5149 5882 15322 11451 6137
141,13237 15578 6253 360 18266 12563 18381 17239 14395 18728
142,1300 9253 73 12931 10738 4952 8348 3554 17555 17740
143,20172 8491 868 14826 4401 7506 10251 1149 14277 15187
149,13980 4364 14758 360 11896 15570 10496 3347 6253 6892
164,6408 19856 18599 12623 16845 9003 8408 4199 8964 19941
169,7157 19858 18615 6901 4710 19976 11268 14375 2253 13043
180,6433 17515 14453 14322 6971 1489 15204 1714 18440 12510
199,8487 14149 10825 1944 17056 9229 1898 16457 8356 1804
210,19305 14904 16583 394 2006 387 8112 10977 18743 16486
