playlist_id,track_ids
3,344 10293 1111 752 2336 12111 3321 13960 6579 18344
6,1111 10711 4910 20242 11943 8749 16866 12510 797 20169
7,17154 8749 5924 14765 20443 13542 4052 20242 11233 3648
17,9246 9580 14572 9882 13347 7416 16289 9847 6223 2918
18,13941 15716 8890 1302 3130 18578 18763 14879 11297 8885
19,16973 3835 2306 4923 19411 4152 4466 6557 18906 18138
20,13237 14591 10264 13139 7619 13101 15578 13980 573 17239
25,4202 699 1111 16866 1900 7545 7077 11943 3788 2018
29,8001 1944 12075 18361 15341 8138 9231 56 2159 2508
34,14751 6285 7517 1357 5746 15386 3410 1850 11774 19540
36,13139 11107 17239 2674 18381 20134 13237 541 6253 9705
40,18418 8796 3880 7550 20268 2317 1723 11014 8960 16338
48,648 10848 7506 16502 8145 10711 14826 14732 20172 2997
50,20287 11896 17429 13763 20037 13368 6892 17034 8229 32
52,9441 8456 19173 8838 1935 1357 14827 17247 6577 18254
59,13670 16521 3624 1300 11882 18404 3860 1365 628 8167
60,1898 4111 18904 4916 13862 1944 5817 16008 4743 9229
64,10089 5604 15038 5726 12765 12507 8437 9717 8928 5020
77,15498 1698 4301 20242 13542 14360 5947 13424 13808 8985
80,18026 9670 15335 11654 7323 12226 3413 3919 2212 12295
83,8145 3650 2736 1111 6444 16866 14826 6442 10269 14008
85,13980 13237 15209 17239 18381 14591 15578 14395 541 2740
88,20443 16973 19243 2765 15438 11257 4965 12164 6557 16451
89,18617 18266 19055 11196 17774 14758 13250 3347 12563 11638
98,9477 16583 4745 14904 9804 16100 394 8342 5023 8033
106,15474 6103 20263 12436 10848 18096 1591 2873 17984 10567
107,9291 15669 16820 2912 9710 10112 11070 10629 9826 17568
115,10848 14826 8145 20172 7506 12510 8866 868 411 2497
138,19825 18824 18856 5149 17663 9473 10834 5651 6137 11451
141,15578 13237 17239 360 12563 6253 10496 18381 14395 3885
142,1300 9253 4952 5474 12931 3860 13406 13670 9508 8348
143,20172 8491 868 14826 7506 4401 5606 15187 11943 10251
