playlist_id,track_ids
3,344 10293 3321 1111 13960 18344 9740 12111 752 6579
6,1111 8749 8275 10711 11943 20242 4910 6954 12510 15701
7,4492 4052 20443 17154 14765 20242 11257 5924 10100 3648
17,9246 7416 9882 9580 13347 8768 14572 16149 18755 9471
18,18578 13941 11951 15716 1302 8890 3130 3865 5167 18107
19,16973 3835 2306 4923 19411 18138 4152 18906 4466 15773
20,14591 13101 7619 13139 13237 10264 16760 18637 4393 13980
25,699 4202 5620 19134 2018 10438 7077 800 16866 1900
29,8001 2159 12075 15341 1944 15886 3903 9231 8138 56
34,6285 14751 20306 19540 15386 5746 6581 6951 1980 1357
36,13139 14765 18381 20134 19939 2912 17239 968 17334 13237
40,8796 18418 8960 1723 7550 20468 16402 15137 20268 14555
48,648 16502 20515 10251 18920 12488 16275 10848 4949 14732
50,20287 19166 15354 20037 11896 17429 12963 15954 6621 8656
52,8456 9441 8838 17247 9007 1434 8378 12237 14827 16293
59,3624 1300 8167 628 13670 11882 3860 123 18404 19690
60,559 4916 13862 4111 10201 18904 1898 11702 17192 14289
64,10089 5604 12507 15038 2203 12765 20532 5726 9717 8067
77,7478 1698 13542 1461 4301 20242 5947 14360 17154 17226
80,14683 9670 18026 7323 12295 15335 10203 16391 14679 3919
83,2736 2012 8145 18435 19214 14008 10711 17947 8843 4796
85,18381 15209 17239 14591 2740 13980 541 3245 14395 5513
88,19243 2765 20443 4965 11257 12164 15438 16973 10880 2505
89,17774 13250 18617 19055 11196 3347 18266 6494 2891 12563
98,9477 16583 8342 4745 8033 16100 14904 15036 11483 20461
106,15474 20263 6103 1591 17984 10567 11275 12436 12278 20295
107,15669 9291 7903 2912 9710 1626 10112 6933 10629 17568
115,8145 8866 12510 4288 14826 14732 4401 8539 2919 868
138,18856 19825 5651 11451 5882 15322 18824 9473 17663 5149
141,18381 6253 15578 18266 12563 13237 360 18728 4106 19662
142,9253 1300 18156 8348 559 16255 5474 73 8111 13406
143,20172 868 8491 4401 7506 14732 10251 14826 18920 15187
149,19783 13980 4364 11896 12182 10496 14758 6331 15570 18401
164,6408 19856 12056 3161 18599 2358 8408 12623 9003 16845
169,7157 11268 18615 14213 6901 19858 2253 13043 4710 9982
180,6433 17515 16846 14453 436 18440 20242 15204 20571 2402
199,14149 8487 10825 20145 1944 453 4513 1804 17056 4756
210,19305 14904 16583 394 2006 387 15511 16486 8112 18503
220,9003 1060 9093 1357 521 6408 3410 17550 10367 6776
221,15578 6253 360 18381 17096 7059 4460 12563 13782 4364
227,9229 4916 3855 18040 12075 559 7197 13730 14289 10672
228,18361 1944 4148 4369 9003 11133 7256 8487 1898 18830
231,508 6695 1687 1149 15931 2897 13737 16457 14247 12510
235,2000 11510 15185 1513 18645 18090 12712 6223 10577 14370
239,6672 18556 17663 8047 3242 12395 11688 9504 14147 17241
241,5359 4058 4026 10706 14178 3788 18421 4202 3375 1133
244,17096 13237 15209 16760 360 18728 10391 13782 3190 14395
255,10250 13101 3885 573 1746 14052 17239 13139 11107 18649
256,1060 8356 4447 4640 19462 6606 19867 18404 12666 19340
258,11366 4364 14591 6253 15209 360 1746 15578 14395 6556
262,14008 2151 19364 15779 19838 4422 2627 4355 411 20172
265,8155 11200 16009 14180 13032 20591 3067 607 11243 15769
268,3855 5817 56 3750 14149 18249 4743 11759 18904 405
270,7153 13435 16313 14247 6472 20584 956 19589 14944 13957
271,19466 394 8342 14306 5023 19075 15931 6788 16100 19305
272,12712 6672 15988 2551 18425 2859 15098 13609 1181 1271
275,10264 13237 11107 360 14591 17239 6253 318 1719 13782
277,7224 7545 11715 10481 6971 14659 20163 16673 1023 6220
290,13406 14907 10957 11715 4148 10521 4513 17114 507 10005
302,10269 3001 1641 13029 20169 3551 16994 16601 7163 12284
303,18824 9473 2551 9834 5149 7961 19969 1992 8407 4672
310,8749 6557 12164 20443 16451 9963 4603 13259 2765 7811
315,19487 17056 8526 4029 7256 7701 15778 17249 4084 3118
316,9388 4774 3907 13599 6920 10521 8138 12539 8645 9718
326,17034 20169 2912 10636 9941 18074 3811 8304 12639 16820
332,15558 2088 7312 10013 5881 1357 18661 16998 8573 6681
337,10848 1085 14826 16994 1714 19075 11943 16866 963 8866
362,16494 17281 1641 11006 8265 2052 12622 2164 8452 18769
365,8437 16433 20461 14659 12765 13129 13212 6732 7989 2166
368,10629 14395 10264 9705 2674 11739 13563 13782 17239 15578
370,18679 5455 20558 5297 19509 12246 15360 12526 11025 2197
378,5778 20371 1830 11282 6925 16465 9430 4707 11722 19775
392,6933 11070 18440 2272 15710 17786 13959 5997 18493 13452
401,16502 10848 4910 20263 14826 20515 7729 11572 8145 11943
403,5020 20359 2247 5485 6732 20135 16340 8437 16484 3007
